iter	Logloss
0	0.678665034
1	0.6648391088
2	0.6524136225
3	0.6422751745
4	0.6326999664
5	0.6313607534
6	0.6225097656
7	0.6186536789
8	0.6142839432
9	0.6089495341
10	0.60096639
11	0.599943161
12	0.5988105774
13	0.5980276744
14	0.5955095927
15	0.5935367584
16	0.5915198008
17	0.589464124
18	0.5867400487
19	0.584149615
20	0.5829567591
21	0.5811813354
22	0.5804065704
23	0.578418986
24	0.5772327423
25	0.57641716
26	0.5757383982
27	0.5738129298
28	0.5721388499
29	0.5715055466
30	0.5702961604
31	0.5686766307
32	0.5668171565
33	0.5661221822
34	0.5652531942
35	0.5648611705
36	0.5630494436
37	0.5628784815
38	0.5616972605
39	0.5610640208
40	0.5600755056
41	0.558754158
42	0.5580778758
43	0.5564916611
44	0.5553270976
45	0.5552822113
46	0.554360199
47	0.5535604477
48	0.553061676
49	0.552442042
50	0.5519172668
51	0.5514371236
52	0.5509223938
53	0.5508917491
54	0.5504339854
55	0.548921903
56	0.5482805888
57	0.5481789907
58	0.5474794388
59	0.5471889496
60	0.5462849935
61	0.5457731883
62	0.5450900396
63	0.5431728363
64	0.5418947856
65	0.5415396372
66	0.5408461889
67	0.5399211884
68	0.5385353088
69	0.53767217
70	0.5371364594
71	0.5365492503
72	0.5354654312
73	0.5347709656
74	0.534410731
75	0.5332718849
76	0.5323740959
77	0.5316705704
78	0.5309758186
79	0.5303284327
80	0.5294797579
81	0.5288473129
82	0.5279798826
83	0.5266839981
84	0.5256559372
85	0.5247207006
86	0.5236881574
87	0.523131752
88	0.5227015495
89	0.5221923192
90	0.5216583252
91	0.5208682378
92	0.5204188665
93	0.5198404312
94	0.5192573229
95	0.519036293
96	0.5187129974
97	0.5182413101
98	0.5179874102
99	0.5176815033
100	0.5173640569
101	0.5171187401
102	0.5167582194
103	0.5164601644
104	0.5161853155
105	0.5157733917
106	0.5153066635
107	0.5151104291
108	0.5147174199
109	0.5144904455
110	0.5139853795
111	0.5137626648
112	0.5136827469
113	0.5135662715
114	0.5133452098
115	0.5132435481
116	0.5129633904
117	0.5128450076
118	0.5127219518
119	0.5126656214
120	0.5122701645
121	0.5120553335
122	0.5119309743
123	0.5117511749
124	0.5115100861
125	0.5114413897
126	0.5112581571
127	0.5110469182
128	0.5108456294
129	0.5105549494
130	0.5104233106
131	0.5102931976
132	0.5101879756
133	0.5100898107
134	0.5099887212
135	0.5097906431
136	0.5097002029
137	0.5096446037
138	0.5094687462
139	0.5092242559
140	0.5090927442
141	0.5089407285
142	0.5089098612
143	0.5088795344
144	0.5088225047
145	0.5087169011
146	0.5086445808
147	0.5085288684
148	0.5084432284
149	0.5083544095
150	0.5081981023
151	0.5080953598
152	0.507953771
153	0.5077835719
154	0.5075984637
155	0.507545344
156	0.5074602127
157	0.5073114395
158	0.5072374344
159	0.507212925
160	0.5070805232
161	0.5070434252
162	0.5069795926
163	0.5069208463
164	0.5068476359
165	0.5068063736
166	0.5067626317
167	0.5067495982
168	0.5065207799
169	0.5064572016
170	0.5063674927
171	0.5061585744
172	0.5059865316
173	0.5059508006
174	0.5058948517
175	0.5057664871
176	0.5056998571
177	0.5056805611
178	0.5056136449
179	0.5055695216
180	0.5055577914
181	0.5054719925
182	0.5053889592
183	0.5053711255
184	0.5053600947
185	0.5053041458
186	0.5052419662
187	0.5052276293
188	0.5051951408
189	0.5051370621
190	0.505058829
191	0.5050346375
192	0.5049851418
193	0.5049081167
194	0.5047725042
195	0.5047469457
196	0.5046984673
197	0.5046138763
198	0.5045888901
199	0.5045680364
200	0.5045071284
201	0.5044995308
202	0.5044925372
203	0.5044775645
204	0.5044079463
205	0.5043668747
206	0.504341952
207	0.5043317795
208	0.5043266932
209	0.5042750676
210	0.5042491913
211	0.504204305
212	0.5041653951
213	0.504123497
214	0.5041161855
215	0.5040853182
216	0.5040016174
217	0.503912735
218	0.5038236936
219	0.5038186073
220	0.5037615458
221	0.5036705017
222	0.5036507289
223	0.5035952886
224	0.5035348892
225	0.5034853935
226	0.5034638087
227	0.5033727646
228	0.5033097903
229	0.5033054352
230	0.503283755
231	0.5032415708
232	0.5032174428
233	0.5031496048
234	0.5031439145
235	0.503057162
236	0.5029939016
237	0.5029216131
238	0.5028973897
239	0.5028933207
240	0.5028674444
241	0.502818044
242	0.5028050741
243	0.5027764002
244	0.5027573903
245	0.5027431488
246	0.5027190526
247	0.5026417414
248	0.5025911331
249	0.502587827
250	0.5025566101
251	0.5025277774
252	0.5025092761
253	0.5024594625
254	0.5024599075
255	0.5024440765
256	0.5024155935
257	0.5023842176
258	0.5023488998
259	0.5023415248
260	0.5023244858
261	0.5022984823
262	0.5022769928
263	0.5022688548
264	0.5022469203
265	0.5022076607
266	0.5022043228
267	0.502179273
268	0.5021756808
269	0.5021399816
270	0.5021114349
271	0.5020652135
272	0.5020552953
273	0.5019961675
274	0.5019735654
275	0.5019245148
276	0.5019067764
277	0.5018809636
278	0.5018626531
279	0.5018583934
280	0.5018532435
281	0.5018317858
282	0.5018253326
283	0.5017983437
284	0.5017609278
285	0.5017326037
286	0.5017102559
287	0.501692009
288	0.5016735713
289	0.5016466777
290	0.5016159058
291	0.5015987078
292	0.501594607
293	0.5015831312
294	0.5015651067
295	0.5015550296
296	0.5015392303
297	0.501534462
298	0.5015037855
299	0.5014762243
