iter	Passed	Remaining
0	63	18950
1	64	9544
2	64	6412
3	67	5028
4	68	4040
5	70	3454
6	71	3006
7	72	2637
8	72	2356
9	73	2130
10	74	1944
11	74	1784
12	75	1676
13	76	1559
14	79	1509
15	80	1421
16	80	1342
17	81	1274
18	82	1220
19	83	1173
20	84	1120
21	85	1084
22	88	1066
23	89	1028
24	90	993
25	91	959
26	91	924
27	91	893
28	93	873
29	94	847
30	94	821
31	95	798
32	98	799
33	99	777
34	100	757
35	101	744
36	102	727
37	102	708
38	103	692
39	103	675
40	104	661
41	105	647
42	106	634
43	108	629
44	109	617
45	109	604
46	110	592
47	110	581
48	111	570
49	112	560
50	113	551
51	114	545
52	115	536
53	116	531
54	117	523
55	118	515
56	120	513
57	120	504
58	121	497
59	123	494
60	126	494
61	129	497
62	133	504
63	134	497
64	135	490
65	136	483
66	136	476
67	137	469
68	138	462
69	139	456
70	139	450
71	140	443
72	140	438
73	141	433
74	143	429
75	144	424
76	144	419
77	146	417
78	147	411
79	148	408
80	149	404
81	150	400
82	151	395
83	151	390
84	156	395
85	157	390
86	157	386
87	158	381
88	159	377
89	159	373
90	161	370
91	163	368
92	164	365
93	167	366
94	172	372
95	173	368
96	174	364
97	175	360
98	175	357
99	176	353
100	177	350
101	178	346
102	179	343
103	180	339
104	181	336
105	181	332
106	183	331
107	184	327
108	185	324
109	186	322
110	189	321
111	190	319
112	191	316
113	191	312
114	194	313
115	195	309
116	196	306
117	196	303
118	197	300
119	198	297
120	199	294
121	199	291
122	200	288
123	201	285
124	204	286
125	206	284
126	207	282
127	208	280
128	209	277
129	211	276
130	211	273
131	212	270
132	213	268
133	214	265
134	231	282
135	231	279
136	232	276
137	233	274
138	234	271
139	234	268
140	235	265
141	236	262
142	237	260
143	237	257
144	238	254
145	238	252
146	250	260
147	250	257
148	251	255
149	252	252
150	252	249
151	253	246
152	253	243
153	254	241
154	254	238
155	255	235
156	256	233
157	256	230
158	257	228
159	257	225
160	259	223
161	260	221
162	260	219
163	266	221
164	267	219
165	268	216
166	269	214
167	278	218
168	279	216
169	280	214
170	280	211
171	281	209
172	282	207
173	282	204
174	283	202
175	284	200
176	285	198
177	289	198
178	291	197
179	301	200
180	301	198
181	302	196
182	303	194
183	304	191
184	305	190
185	306	187
186	307	185
187	308	183
188	313	184
189	314	182
190	315	179
191	316	177
192	321	178
193	321	175
194	322	173
195	323	171
196	324	169
197	325	167
198	326	165
199	328	164
200	338	166
201	339	164
202	340	162
203	340	160
204	341	158
205	342	156
206	342	154
207	343	151
208	344	149
209	345	147
210	346	146
211	347	144
212	348	142
213	350	140
214	351	138
215	352	137
216	353	135
217	354	133
218	356	131
219	356	129
220	357	127
221	358	125
222	359	124
223	360	122
224	360	120
225	361	118
226	362	116
227	363	114
228	363	112
229	364	110
230	365	109
231	367	107
232	368	105
233	368	104
234	369	102
235	370	100
236	371	98
237	372	96
238	372	95
239	373	93
240	373	91
241	374	89
242	375	88
243	376	86
244	376	84
245	377	82
246	378	81
247	379	79
248	379	77
249	380	76
250	381	74
251	382	72
252	383	71
253	387	70
254	387	68
255	388	66
256	389	65
257	390	63
258	391	61
259	391	60
260	392	58
261	393	57
262	394	55
263	395	53
264	396	52
265	397	50
266	397	49
267	399	47
268	400	46
269	401	44
270	402	43
271	402	41
272	403	39
273	404	38
274	405	36
275	406	35
276	406	33
277	407	32
278	408	30
279	408	29
280	409	27
281	410	26
282	411	24
283	411	23
284	412	21
285	413	20
286	413	18
287	414	17
288	416	15
289	417	14
290	417	12
291	418	11
292	419	10
293	420	8
294	421	7
295	421	5
296	422	4
297	423	2
298	424	1
299	428	0
